Tempo,Usina,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-08-23 11:38:00,BET01 ,221.024,193.24938460277752,1.143724211356807,Normal
2024-08-23 11:43:00,BET01 ,88.648,134.78924731230194,0.6576785742753329,Normal
2024-08-23 11:48:00,BET01 ,88.648,109.24546393333328,0.8114570327066135,Normal
2024-08-23 11:53:00,BET01 ,103.124,116.16736485915656,0.8877191982879995,Normal
2024-08-23 11:58:00,BET01 ,122.273,141.7753629733405,0.8624418053720114,Normal
2024-08-23 12:03:00,BET01 ,231.465,163.3649147301588,1.4168586956527773,Normal
2024-08-23 12:08:00,BET01 ,115.544,156.18356042456696,0.73979617115852,Normal
2024-08-23 12:13:00,BET01 ,237.837,218.97179212460307,1.0861535985633342,Normal
2024-08-23 12:18:00,BET01 ,237.837,217.551470290873,1.0932447373580358,Normal
2024-08-23 12:23:00,BET01 ,239.935,237.31554994991507,1.0110378357028764,Normal
2024-08-23 12:28:00,BET01 ,235.062,230.67850369696987,1.0190026215394066,Normal
2024-08-23 12:33:00,BET01 ,231.518,230.29952469563517,1.005290828567602,Normal
2024-08-23 12:38:00,BET01 ,230.79,227.84685072943745,1.0129172260276595,Normal
2024-08-23 12:48:00,BET01 ,228.59,202.98501751071436,1.1261422286397769,Normal
2024-08-23 12:53:00,BET01 ,182.957,203.84760783858337,0.8975185038466303,Normal
2024-08-23 12:58:00,BET01 ,228.16,213.34414599390328,1.0694457958388046,Normal
2024-08-23 13:08:00,BET01 ,221.247,215.4341061829368,1.0269822356360194,Normal
2024-08-23 13:13:00,BET01 ,223.98,221.2533257873017,1.012323765995362,Normal
2024-08-23 13:18:00,BET01 ,225.616,222.9206825289988,1.0120909259761062,Normal
2024-08-23 13:23:00,BET01 ,232.207,200.4928556442644,1.1581809199825364,Normal
2024-08-23 13:28:00,BET01 ,127.381,125.74607428900816,1.0130018031993127,Normal
2024-08-23 13:33:00,BET01 ,124.309,145.46667852422027,0.8545530925785351,Normal
2024-08-23 13:38:00,BET01 ,206.823,185.92839239761895,1.11237986481213,Normal
2024-08-23 13:43:00,BET01 ,228.922,208.472362790512,1.0980927972214585,Normal
2024-08-23 13:48:00,BET01 ,217.44,205.0751693795815,1.0602941382802515,Normal
2024-08-23 13:53:00,BET01 ,223.145,216.46340240064947,1.0308671005132943,Normal
2024-08-23 13:58:00,BET01 ,215.01,208.60415584920648,1.030708132945463,Normal
2024-08-23 14:03:00,BET01 ,212.414,209.45607595753975,1.0141219299986306,Normal
