Tempo,velocidade do vento,humidade,irradiancia inclinada,temperatura ambiente,Usina,Potencia Ativa(kW),lag_1,lag_2,Potencia Ativa Prevista (Random Forest),Potencia Ativa Prevista (kNN)
2024-08-23 11:23:00,6.836129687500001,36.0,951.10635,33.94999833333333,BET01 ,238.73,229.192,103.343,200.2588104077958,210.27781818181813
2024-08-23 11:28:00,5.932214192708334,35.8,986.666875,33.99999833333334,BET01 ,239.269,238.73,229.192,228.013161386905,220.91813636363634
2024-08-23 11:33:00,7.362516276041666,34.8,862.95065,33.800001666666674,BET01 ,239.568,239.269,238.73,222.42442609862084,209.52613636363637
2024-08-23 11:38:00,6.254376692708334,33.85,721.833705,34.299998333333335,BET01 ,221.024,239.568,239.269,229.00719222976426,227.58390909090906
2024-08-23 11:43:00,6.0279644531250005,34.85,997.92139,33.800000000000004,BET01 ,88.648,221.024,239.568,192.33456891040143,220.69199999999998
2024-08-23 11:48:00,7.569365885416666,32.3,926.53902,34.39999833333333,BET01 ,88.648,88.648,221.024,126.09376480797465,175.54149999999998
2024-08-23 11:53:00,7.736882812500001,31.950000000000003,1001.68031,34.450001666666665,BET01 ,103.124,88.648,88.648,118.63244822605954,90.76331818181816
2024-08-23 11:58:00,7.431032552083334,31.9,1010.9774,34.84999666666667,BET01 ,122.273,103.124,88.648,133.73679936011598,125.63699999999999
2024-08-23 12:03:00,5.972002604166668,32.35,792.55805,35.2,BET01 ,231.465,122.273,103.124,160.01079832620906,141.7176818181818
2024-08-23 12:08:00,6.590880208333333,32.8,841.91984,35.05000166666667,BET01 ,115.544,231.465,122.273,167.347121865809,191.00272727272724
2024-08-23 12:13:00,6.736546354166666,33.0,937.962415,35.1,BET01 ,237.837,115.544,231.465,174.49683033153423,185.62463636363637
2024-08-23 12:18:00,6.760029947916666,33.15,935.527985,34.800001666666674,BET01 ,237.837,237.837,115.544,204.578691167,206.14999999999998
2024-08-23 12:23:00,6.252582291666667,32.5,914.399905,35.0,BET01 ,239.935,237.837,237.837,234.16370485658166,235.6971818181818
2024-08-23 12:28:00,8.027005729166667,30.85,906.976625,35.1,BET01 ,235.062,239.935,237.837,233.20077979517185,225.77709090909093
2024-08-23 12:33:00,5.582588020833335,31.700000000000003,889.2226,35.25000166666667,BET01 ,231.518,235.062,239.935,228.53139131064762,218.74890909090908
2024-08-23 12:38:00,6.235668229166667,32.75,878.6953900000001,34.84999833333333,BET01 ,230.79,231.518,235.062,225.8648286923652,229.2585
2024-08-23 12:48:00,4.582704427083334,33.900000000000006,730.232715,34.9,BET01 ,228.59,230.79,231.518,222.83279838218297,226.16263636363635
2024-08-23 12:53:00,5.820914322916667,33.85,745.1424900000001,35.300000000000004,BET01 ,182.957,228.59,230.79,207.95092320432553,218.58140909090906
2024-08-23 12:58:00,4.308917708333333,34.75,852.610185,35.19999833333334,BET01 ,228.16,182.957,228.59,197.15111804816527,185.26159090909093
2024-08-23 13:08:00,4.860992838541666,34.7,823.732975,34.84999833333333,BET01 ,221.247,228.16,182.957,193.76134042482266,194.6811363636364
2024-08-23 13:13:00,5.301379557291668,33.6,826.301455,35.1,BET01 ,223.98,221.247,228.16,216.78945015787218,224.74340909090907
2024-08-23 13:18:00,5.594971614583333,32.95,814.1317650000001,35.34999833333333,BET01 ,225.616,223.98,221.247,218.23669804489867,216.9339090909091
2024-08-23 13:23:00,6.15447578125,34.0,832.1037799999999,35.300000000000004,BET01 ,232.207,225.616,223.98,220.43330259270365,219.40563636363638
2024-08-23 13:28:00,5.3134747395833335,34.05,365.04622,35.050003333333336,BET01 ,127.381,232.207,225.616,126.14586476585933,127.3952272727273
2024-08-23 13:33:00,6.0139390625,33.7,763.8610299999999,34.4,BET01 ,124.309,127.381,232.207,144.08202258533342,170.88295454545454
2024-08-23 13:38:00,5.062427734375,34.8,793.462755,34.299998333333335,BET01 ,206.823,124.309,127.381,156.58781561828624,137.55781818181816
2024-08-23 13:43:00,3.804928776041667,33.45,766.49263,34.949996666666664,BET01 ,228.922,206.823,124.309,179.14666695258504,182.5043181818182
2024-08-23 13:48:00,5.443103385416666,32.650000000000006,761.73065,35.1,BET01 ,217.44,228.922,206.823,197.2794310966015,219.6675909090909
2024-08-23 13:53:00,4.369494791666667,36.25,737.3791000000001,35.4,BET01 ,223.145,217.44,228.922,209.12586439498608,219.52604545454543
2024-08-23 13:58:00,4.908843489583334,39.2,709.221145,35.5,BET01 ,215.01,223.145,217.44,209.84216040581913,218.2482272727273
2024-08-23 14:03:00,4.943293359375,39.55,697.20325,35.05000166666667,BET01 ,212.414,215.01,223.145,207.55920701461287,218.35818181818178
2024-08-23 14:05:00,4.943293359375,39.55,691.251795,34.950001666666665,BET01 ,210.751,212.414,215.01,203.65438562930476,210.97172727272726
2024-08-23 14:09:00,4.943293359375,39.400000000000006,675.65016,34.850005,BET01 ,208.145,210.751,212.414,197.24811295246192,212.73159090909087
2024-08-23 14:14:00,6.2562452469557295,39.6,535.05,34.250005,BET01 ,206.907,208.145,210.751,199.68711335224353,201.06954545454545
2024-08-23 14:19:00,5.228906770833333,40.2,632.7,34.1,BET01 ,200.438,206.907,208.145,199.36363904509943,192.15250000000006
2024-08-23 14:24:00,5.021876770833333,39.2,617.95,34.399995000000004,BET01 ,200.05,200.438,206.907,193.69514746409098,197.30700000000004
2024-08-23 14:29:00,5.051567291666667,38.0,605.55,34.9,BET01 ,198.149,200.05,200.438,180.81740289201238,202.70377272727274
